size,accuracy
32,0.9175093948761658
64,0.957516724297546
96,0.968629147226892
128,0.9794296233032291
160,0.9849798619508849
192,0.9835184591709376
224,0.982056092839938
256,0.9867526287769858
288,0.9849319454300727
320,0.9919363804416411
352,0.9877809395211795
384,0.9900397997811231
416,0.9882662305033297
448,0.9888164090453546
480,0.9915353003897597
512,0.9912935229260781
544,0.9904022370376147
576,0.9903192873373926
608,0.9906785555385791
640,0.9962797781881996
