size,gpu_memory_used,cpu_memory_used,latency
32,136.0,32.875600814819336,0.4012584686279297
64,134.0,32.83403491973877,0.44155120849609375
96,136.0,32.772287368774414,0.4820823669433594
128,138.0,32.68825912475586,0.5366802215576172
160,138.0,32.580678939819336,0.6117820739746094
192,138.0,32.44965171813965,0.7221698760986328
224,140.0,32.29537868499756,0.8575916290283203
256,142.0,32.11773681640625,1.0707378387451172
288,146.0,31.916561126708984,1.3604164123535156
320,148.0,31.691946983337402,1.4979839324951172
352,150.0,31.443758964538574,1.7976760864257812
384,154.0,31.17170238494873,2.067089080810547
416,158.0,30.876717567443848,2.6061534881591797
448,164.0,30.55835247039795,2.8228759765625
480,166.0,30.21655559539795,3.4186840057373047
512,170.0,29.851314544677734,4.420280456542969
544,174.0,29.462533950805664,4.62651252746582
576,178.0,29.050421714782715,5.24592399597168
608,184.0,28.61487102508545,6.667852401733398
640,188.0,28.230335235595703,10.81395149230957
